candidate_id,semantic_score,skill_match,matched_skills,experience,github,profile_score,response_rate,open_to_work,final_score
CAND_0077420,0.6372,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.8,-1.0,82.2,0.78,True,0.6391
CAND_0067226,0.6491,0.2,"embeddings, faiss, llms, pinecone, rag",11.4,49.0,74.9,0.37,True,0.6378
CAND_0017014,0.6442,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.1,3.5,72.5,0.74,True,0.6376
CAND_0059294,0.6422,0.2,"embeddings, faiss, langchain, pinecone, rag",13.0,49.2,64.0,0.63,True,0.6368
CAND_0000847,0.6508,0.2,"embeddings, faiss, llms, pinecone, rag",14.5,5.7,74.8,0.7,True,0.6355
CAND_0036871,0.6372,0.2,"embeddings, faiss, langchain, llms, rag",13.4,32.5,76.4,0.56,True,0.6333
CAND_0066945,0.6344,0.16,"embeddings, langchain, pinecone, rag",11.5,46.8,68.0,0.77,True,0.6324
CAND_0002825,0.6503,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.7,-1.0,74.9,0.43,True,0.6315
CAND_0066628,0.6519,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.4,42.4,66.1,0.77,False,0.6308
CAND_0023896,0.6615,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.4,33.3,59.1,0.11,True,0.6296
CAND_0049237,0.6389,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",9.9,4.0,82.7,0.45,True,0.6295
CAND_0042593,0.6363,0.16,"faiss, langchain, llms, pinecone",13.3,34.3,68.5,0.75,True,0.6292
CAND_0056097,0.6339,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.2,32.8,60.5,0.51,True,0.6284
CAND_0039653,0.6322,0.12,"embeddings, llms, pinecone",12.0,48.5,70.4,0.78,True,0.6273
CAND_0005085,0.6464,0.2,"faiss, langchain, llms, pinecone, rag",14.7,-1.0,69.6,0.63,True,0.6269
CAND_0067993,0.6356,0.2,"embeddings, faiss, llms, pinecone, rag",10.8,-1.0,76.7,0.69,True,0.6269
CAND_0000361,0.6399,0.16,"faiss, langchain, pinecone, rag",10.2,49.8,72.4,0.39,True,0.6268
CAND_0099392,0.6482,0.16,"faiss, langchain, pinecone, rag",13.7,16.4,75.5,0.5,True,0.6258
CAND_0060832,0.6396,0.16,"embeddings, faiss, langchain, pinecone",12.6,23.7,74.5,0.56,True,0.6249
CAND_0045258,0.6496,0.16,"embeddings, faiss, llms, rag",14.9,44.7,51.1,0.57,True,0.6249
CAND_0028830,0.6543,0.12,"embeddings, faiss, rag",12.0,37.8,73.4,0.38,True,0.6246
CAND_0033243,0.64,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.6,-1.0,83.2,0.23,True,0.6245
CAND_0088891,0.6497,0.2,"embeddings, faiss, langchain, pinecone, rag",13.6,24.8,48.0,0.59,True,0.624
CAND_0019175,0.6386,0.16,"embeddings, llms, pinecone, rag",11.7,44.6,57.2,0.59,True,0.623
CAND_0078518,0.645,0.2,"embeddings, faiss, llms, pinecone, rag",11.3,-1.0,58.6,0.7,True,0.6228
CAND_0067229,0.6338,0.2,"embeddings, faiss, llms, pinecone, rag",12.9,27.3,64.4,0.46,True,0.6211
CAND_0065111,0.6519,0.16,"langchain, llms, pinecone, rag",12.8,-1.0,72.5,0.48,True,0.6206
CAND_0012498,0.6546,0.2,"embeddings, faiss, langchain, pinecone, rag",10.2,-1.0,43.9,0.7,True,0.6202
CAND_0047065,0.6526,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.2,35.0,75.6,0.32,False,0.6202
CAND_0012985,0.6417,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.1,20.3,54.2,0.32,True,0.6196
CAND_0065293,0.6327,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.2,23.0,52.6,0.46,True,0.6194
CAND_0061298,0.6481,0.16,"embeddings, faiss, langchain, pinecone",14.8,-1.0,66.8,0.57,True,0.6185
CAND_0074657,0.6365,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.5,39.1,29.2,0.59,True,0.6183
CAND_0092941,0.6349,0.2,"embeddings, faiss, llms, pinecone, rag",14.4,-1.0,56.1,0.76,True,0.6183
CAND_0047068,0.6511,0.2,"embeddings, faiss, langchain, llms, rag",9.5,17.9,79.8,0.24,True,0.618
CAND_0019892,0.6395,0.2,"embeddings, faiss, langchain, llms, rag",10.6,-1.0,58.3,0.63,True,0.6178
CAND_0053768,0.6372,0.16,"faiss, llms, pinecone, rag",14.3,-1.0,67.2,0.71,True,0.6175
CAND_0042642,0.6425,0.2,"embeddings, langchain, llms, pinecone, rag",11.5,31.7,38.5,0.55,True,0.6165
CAND_0098299,0.6351,0.2,"embeddings, faiss, llms, pinecone, rag",12.0,44.9,76.2,0.58,False,0.6165
CAND_0053774,0.6375,0.16,"embeddings, langchain, llms, rag",11.9,-1.0,80.6,0.43,True,0.6159
